Item Name,Brand Name,Device Condition,Material Recovery Rate,Device Type,Year of Manufacturing,Cost of Recovery,Gold (g),Silver (g),Copper (g),Palladium (g),Platinum (g),Recycling Score
MacBook Pro,HP,Fair,79.30449600953656,Laptop,2024,20.24390787164753,0.07709807428580193,0.7481845625924308,105.97506883650063,0.02923379721846435,0.0019419380959111512,64.96701155215233
Inkjet Printer,OnePlus,Scrap,71.6769320875184,Printer,2012,23.74443833044536,0.003812024102947343,0.04017479032449691,27.207230724186875,0.0017026398285352189,0.00025365806149968737,58.048056460967786
OnePlus 9,Sony,Damaged,78.15297845440992,Smartphone,2021,13.242702392315026,0.023238975909163937,0.1875818706579336,12.773560752576719,0.007890815769922486,0.000626213635212344,69.35441586129559
LED TV,OnePlus,Fair,84.17455889712927,TV,2009,24.787276632107723,0.013565216297574526,0.21373957859674161,60.65714200392643,0.004553095682991402,0.0008829096227240113,70.58895389570911
Blade Server,Lenovo,Fair,76.27763493581158,Server,2010,45.73889539063687,0.1444139818127191,1.7461502073735982,313.832660187194,0.054358998826634496,0.0030895472372644496,58.40891336220504
Office PC,Samsung,Scrap,66.00609042006016,Desktop,2008,33.88369342090503,0.05482398432407821,0.6545558472437548,119.59002501628541,0.018647987572086223,0.001282480565640164,60.58038147585961
Gaming PC,Dell,Scrap,72.88624553731589,Desktop,2016,32.02434024696904,0.05549345582600413,0.6351999370716279,130.60346522191975,0.01724771659088743,0.0015248315257847872,58.736354010902815
MacBook Pro,Lenovo,Damaged,70.31843677973049,Laptop,2009,27.712723219969597,0.052989132099702796,0.5229154392168056,83.33674741715939,0.016886264405283808,0.0014609224426972238,59.55881064894294
Lenovo ThinkPad,Sony,Excellent,81.81978451674266,Laptop,2015,20.27148334260416,0.08365692145742758,1.0223785262989606,154.75212366322722,0.03150967503430843,0.0019849886872332126,73.94645633638451
iPad,Xiaomi,Scrap,74.95805158345269,Tablet,2021,21.093724267099553,0.024362610299274275,0.21543226655359407,21.44428072877283,0.00820997442969846,0.0005084094723152306,64.96568773944753
Enterprise Router,OnePlus,Scrap,69.73218931669753,Router,2014,14.48964790487306,0.006058008741804119,0.08728274775072078,22.425549020904516,0.004004047489637891,0.0004668607535319975,66.21907700190704
OLED TV,Samsung,Scrap,67.21074026721706,TV,2025,21.06388638306548,0.01036236098492329,0.15680145045999064,52.210880214322536,0.0031623066983056977,0.0005465479132842223,67.27295118580234
iPad,Apple,Excellent,83.26956287780794,Tablet,2008,14.981635395127045,0.044791517579587534,0.34967224991971513,35.2559643297793,0.012255237920500981,0.0009063440405253437,71.54772285098133
Mi Pad,Apple,Excellent,90.5704794002217,Tablet,2022,12.934593677412808,0.05522766216199301,0.4688301248636332,43.14262278793726,0.015352986706106691,0.0011000442269331458,70.46056553454508
iPad,Cisco,Damaged,79.1693030139676,Tablet,2008,19.09871836294046,0.027772007037016877,0.28295871687743823,23.674623361244137,0.009988983843680752,0.0006753827761629908,67.51504995709354
Enterprise Router,Apple,Scrap,70.63784281266982,Router,2017,20.048173465258213,0.006511716457792246,0.09706668592590623,27.40285442071299,0.004874892733459251,0.00045236846325956203,56.062652249754606
Laser Printer,Apple,Fair,76.6579505046846,Printer,2011,18.93650994846361,0.007783334872105709,0.08300400344530842,54.18692461151924,0.002942006940551142,0.00035866748093115917,68.28115791388488
Smart TV,Sony,Excellent,86.97653313161798,TV,2015,16.969917104632405,0.02272181949485461,0.32780675940615517,107.76172986168571,0.007728865872812845,0.0010145056508103975,77.79086197930475
LED TV,Sony,Fair,89.18960573030655,TV,2025,19.09966602398294,0.020769858417557907,0.26263400920673474,92.67877614601285,0.006262478442020798,0.0009619920455285217,65.53027178952927
Dell XPS,LG,Excellent,80.47828778751789,Laptop,2008,25.839954719861588,0.0903203187252972,0.921585308578457,135.32943434327163,0.02538909919782035,0.0017125802733636572,73.04140895874083
Gaming PC,LG,Excellent,82.71287700202696,Desktop,2010,31.357347096381794,0.11792303676717618,1.4307005057672557,234.24430093581302,0.03851574092385164,0.0024606660215225145,65.20399871399098
LED TV,Xiaomi,Good,86.46188137562076,TV,2018,17.83396874786775,0.02147314189842538,0.3063223044888844,108.25767461238932,0.005923229635608418,0.000841264578474144,75.97163276165593
Rack Server,Intel,Excellent,88.50819917961444,Server,2009,48.04114233669264,0.21752075030712495,2.7288788640670583,410.7943887141613,0.08408644163360364,0.0047041732503075515,63.421713462289496
Gaming PC,Samsung,Good,90.85174988921291,Desktop,2011,30.671907445890266,0.10311191169317019,1.2459071023184836,251.56468592177592,0.03742963433489463,0.0029594667015966207,66.04627484754425
HP Pavilion,Lenovo,Fair,87.32801841668777,Laptop,2015,26.06024391991312,0.07420968758453567,0.6870277140297956,112.00512024445125,0.024995743417134363,0.0013746654578412423,66.17156661975612
